codebook_id,domain,metric_pattern,org_id,tbl_id,classification_codes,item_codes,periods,calculation_rule
CPI_TOTAL_INDEX,물가,전국 소비자물가지수,101,DT_1J22003,시도=T10,T,Y/M,지수 두 시점 증감률
CPI_HEADLINE_RATE,물가,총지수·생활물가 등락률,101,DT_1J22042,지수종류=0/1/2/3/4,T02/T03/T04,M,KOSIS 발표 등락률 직접 사용
CPI_ITEM_INDEX,물가,외식·석유류·가공식품·농축수산물,101,DT_1J22112,시도=T10; 품목=F01/B05/B01/A,T,M,전년동월 지수 증감률
CPI_LIVING_INDEX,물가,생활물가지수 누적 변화,101,DT_1J22005,시도=T10; 품목=110,T,M,지정 두 시점 지수 증감률
EMPLOYMENT_TOTAL,고용,전체 취업자·실업률·고용률,101,DT_1DA7001S,성별=0,T30/T80/T90,Y/M,수준값 또는 시점 차이
EMPLOYMENT_AGE,고용,청년·20대·15~64세 고용,101,DT_1DA7002S,연령=75/20/63,T30/T40/T80/T90,M,수준값·전년동월 차이·비율
POPULATION_BIRTH_FERTILITY,인구,출생아·합계출산율,101,INH_1B8000F_01,기본항목=11/30,T1,Y/M,수준값·전년비·월 합계
POPULATION_MARRIAGE_DIVORCE,인구,혼인·이혼 건수,101,DT_1B8000F,기본항목=41/51,T1,Y/M,수준값 또는 전년비
POPULATION_BIRTH_MONTHLY,인구,월별 출생아,101,DT_1B81A01,시군구=00,T1,M,월 수준값·전년동월비·기간 합계
POPULATION_MARRIAGE_MONTHLY,인구,월별 혼인,101,DT_1B83A35,시군구=00,T3,M,월 수준값 또는 전년동월비
POPULATION_DIVORCE_MONTHLY,인구,월별 이혼,101,DT_1B85033,시군구=00,T4,M,월 수준값 또는 전년동월비
TRADE_CUSTOMS_ITEM,무역,통관 총수출·품목 수출입,360,DT_1R11001_FRM101,품목=총액 또는 확정 품목,수출/수입,Y/M,천달러 단위 변환 또는 증감률
TRADE_CUSTOMS_COUNTRY,무역,국가별 총수출입,360,DT_1R11006_FRM101,국가=확정 국가,수출/수입,Y/M,천달러 단위 변환 또는 증감률
TRADE_BOP_EXPORT,무역,국제수지 상품수출,301,DT_301Y013,계정=상품수출,국제수지,M,백만달러를 억달러로 변환
RETAIL_TOTAL,소매,소매판매 총지수·재별,101,DT_1K41012,상품군=G0/G1/G2/G3,T2/T3,Y/M,불변지수 전년비 또는 계절조정 전월비
RETAIL_REGION,소매,지역별 소매판매,101,DT_1K41018,지역; 업종=A0,T2,Y,지역 총지수 전년비
SERVICE_PRODUCTION,소매,서비스업 생산,101,DT_1KC2020,업종=T,T2/T3,Y/M,불변지수 전년비 또는 계절조정 전월비
